Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
write_SC,605,90,5242880,4718592,3,500,128
shuffle_SC,1584,90,5242880,4718592,3,500,128
write_SC,600,90,5242880,4718592,3,500,128
shuffle_SC,1582,90,5242880,4718592,3,500,128
write_SC,611,90,5242880,4718592,3,500,128
shuffle_SC,1575,90,5242880,4718592,3,500,128
write_SC,617,90,5242880,4718592,3,500,128
shuffle_SC,1562,90,5242880,4718592,3,500,128
write_SC,627,90,5242880,4718592,3,500,128
shuffle_SC,1576,90,5242880,4718592,3,500,128
write_SC,581,90,5242880,4718592,3,500,128
shuffle_SC,1518,90,5242880,4718592,3,500,128
read_SC,1362,90,5242880,4718592,3,500,128
collect_SC,3305,90,5242880,4718592,3,500,128
spill_SC,4874,90,5242880,4718592,3,500,128
merge_SC,2665,90,5242880,4718592,3,500,128
read_SC,1417,90,5242880,4718592,3,500,128
collect_SC,3429,90,5242880,4718592,3,500,128
spill_SC,5010,90,5242880,4718592,3,500,128
merge_SC,2682,90,5242880,4718592,3,500,128
read_SC,1418,90,5242880,4718592,3,500,128
collect_SC,3221,90,5242880,4718592,3,500,128
spill_SC,4667,90,5242880,4718592,3,500,128
merge_SC,2692,90,5242880,4718592,3,500,128
write_SC,595,90,5242880,4718592,3,500,128
shuffle_SC,12076,90,5242880,4718592,3,500,128
read_SC,1244,90,5242880,4718592,3,500,128
collect_SC,3301,90,5242880,4718592,3,500,128
spill_SC,6795,90,5242880,4718592,3,500,128
merge_SC,2615,90,5242880,4718592,3,500,128
write_SC,3467,100,5242880,5242880,3,500,128
shuffle_SC,1670,100,5242880,5242880,3,500,128
write_SC,586,100,5242880,5242880,3,500,128
shuffle_SC,1410,100,5242880,5242880,3,500,128
write_SC,648,100,5242880,5242880,3,500,128
shuffle_SC,1667,100,5242880,5242880,3,500,128
write_SC,634,100,5242880,5242880,3,500,128
shuffle_SC,1695,100,5242880,5242880,3,500,128
write_SC,643,100,5242880,5242880,3,500,128
shuffle_SC,10148,100,5242880,5242880,3,500,128
write_SC,690,100,5242880,5242880,3,500,128
shuffle_SC,1663,100,5242880,5242880,3,500,128
write_SC,664,100,5242880,5242880,3,500,128
shuffle_SC,1665,100,5242880,5242880,3,500,128
write_SC,597,100,5242880,5242880,3,500,128
shuffle_SC,1679,100,5242880,5242880,3,500,128
read_SC,1422,100,5242880,5242880,3,500,128
collect_SC,3395,100,5242880,5242880,3,500,128
spill_SC,5410,100,5242880,5242880,3,500,128
merge_SC,2953,100,5242880,5242880,3,500,128
read_SC,1404,100,5242880,5242880,3,500,128
collect_SC,3368,100,5242880,5242880,3,500,128
spill_SC,5342,100,5242880,5242880,3,500,128
merge_SC,2947,100,5242880,5242880,3,500,128
read_SC,1286,100,5242880,5242880,3,500,128
collect_SC,3443,100,5242880,5242880,3,500,128
spill_SC,5153,100,5242880,5242880,3,500,128
merge_SC,2805,100,5242880,5242880,3,500,128
read_SC,1260,100,5242880,5242880,3,500,128
collect_SC,3358,100,5242880,5242880,3,500,128
spill_SC,5183,100,5242880,5242880,3,500,128
merge_SC,2748,100,5242880,5242880,3,500,128
read_SC,1509,10,7864320,786432,5,750,128
collect_SC,102,10,7864320,786432,5,750,128
spill_SC,508,10,7864320,786432,5,750,128
merge_SC,8,10,7864320,786432,5,750,128
read_SC,1342,10,7864320,786432,5,750,128
collect_SC,81,10,7864320,786432,5,750,128
spill_SC,528,10,7864320,786432,5,750,128
merge_SC,12,10,7864320,786432,5,750,128
read_SC,1278,10,7864320,786432,5,750,128
collect_SC,96,10,7864320,786432,5,750,128
spill_SC,553,10,7864320,786432,5,750,128
merge_SC,25,10,7864320,786432,5,750,128
read_SC,1308,10,7864320,786432,5,750,128
collect_SC,111,10,7864320,786432,5,750,128
spill_SC,545,10,7864320,786432,5,750,128
merge_SC,9,10,7864320,786432,5,750,128
read_SC,1321,10,7864320,786432,5,750,128
collect_SC,83,10,7864320,786432,5,750,128
spill_SC,514,10,7864320,786432,5,750,128
merge_SC,11,10,7864320,786432,5,750,128
read_SC,1365,10,7864320,786432,5,750,128
collect_SC,71,10,7864320,786432,5,750,128
spill_SC,517,10,7864320,786432,5,750,128
merge_SC,10,10,7864320,786432,5,750,128
write_SC,179,10,7864320,786432,5,750,128
shuffle_SC,592,10,7864320,786432,5,750,128
write_SC,160,10,7864320,786432,5,750,128
shuffle_SC,559,10,7864320,786432,5,750,128
write_SC,184,10,7864320,786432,5,750,128
shuffle_SC,566,10,7864320,786432,5,750,128
write_SC,175,10,7864320,786432,5,750,128
shuffle_SC,561,10,7864320,786432,5,750,128
write_SC,164,10,7864320,786432,5,750,128
shuffle_SC,569,10,7864320,786432,5,750,128
write_SC,152,10,7864320,786432,5,750,128
shuffle_SC,559,10,7864320,786432,5,750,128
write_SC,177,10,7864320,786432,5,750,128
shuffle_SC,557,10,7864320,786432,5,750,128
write_SC,159,10,7864320,786432,5,750,128
shuffle_SC,585,10,7864320,786432,5,750,128
write_SC,320,20,7864320,1572864,5,750,128
shuffle_SC,830,20,7864320,1572864,5,750,128
write_SC,303,20,7864320,1572864,5,750,128
shuffle_SC,818,20,7864320,1572864,5,750,128
write_SC,312,20,7864320,1572864,5,750,128
shuffle_SC,805,20,7864320,1572864,5,750,128
write_SC,308,20,7864320,1572864,5,750,128
shuffle_SC,813,20,7864320,1572864,5,750,128
write_SC,311,20,7864320,1572864,5,750,128
shuffle_SC,810,20,7864320,1572864,5,750,128
read_SC,1273,20,7864320,1572864,5,750,128
collect_SC,135,20,7864320,1572864,5,750,128
spill_SC,1038,20,7864320,1572864,5,750,128
merge_SC,9,20,7864320,1572864,5,750,128
write_SC,281,20,7864320,1572864,5,750,128
shuffle_SC,826,20,7864320,1572864,5,750,128
write_SC,327,20,7864320,1572864,5,750,128
shuffle_SC,821,20,7864320,1572864,5,750,128
write_SC,345,20,7864320,1572864,5,750,128
shuffle_SC,837,20,7864320,1572864,5,750,128
read_SC,1369,20,7864320,1572864,5,750,128
collect_SC,117,20,7864320,1572864,5,750,128
spill_SC,1010,20,7864320,1572864,5,750,128
merge_SC,9,20,7864320,1572864,5,750,128
read_SC,1301,20,7864320,1572864,5,750,128
collect_SC,168,20,7864320,1572864,5,750,128
spill_SC,988,20,7864320,1572864,5,750,128
merge_SC,8,20,7864320,1572864,5,750,128
read_SC,1359,20,7864320,1572864,5,750,128
collect_SC,134,20,7864320,1572864,5,750,128
spill_SC,1011,20,7864320,1572864,5,750,128
merge_SC,8,20,7864320,1572864,5,750,128
read_SC,1289,20,7864320,1572864,5,750,128
collect_SC,124,20,7864320,1572864,5,750,128
spill_SC,1057,20,7864320,1572864,5,750,128
merge_SC,10,20,7864320,1572864,5,750,128
read_SC,1358,20,7864320,1572864,5,750,128
collect_SC,142,20,7864320,1572864,5,750,128
spill_SC,1040,20,7864320,1572864,5,750,128
merge_SC,8,20,7864320,1572864,5,750,128
write_SC,407,30,7864320,2359296,5,750,128
shuffle_SC,1017,30,7864320,2359296,5,750,128
