Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize,BlockSize
collect_SC,67,10,10737418,1073741,8,1024,128
spill_SC,364,10,10737418,1073741,8,1024,128
merge_SC,9,10,10737418,1073741,8,1024,128
read_SC,1192,10,10737418,1073741,8,1024,128
collect_SC,56,10,10737418,1073741,8,1024,128
spill_SC,422,10,10737418,1073741,8,1024,128
merge_SC,9,10,10737418,1073741,8,1024,128
read_SC,1161,10,10737418,1073741,8,1024,128
collect_SC,93,10,10737418,1073741,8,1024,128
spill_SC,1408,10,10737418,1073741,8,1024,128
merge_SC,14,10,10737418,1073741,8,1024,128
read_SC,952,10,10737418,1073741,8,1024,128
collect_SC,72,10,10737418,1073741,8,1024,128
spill_SC,356,10,10737418,1073741,8,1024,128
merge_SC,8,10,10737418,1073741,8,1024,128
read_SC,974,10,10737418,1073741,8,1024,128
collect_SC,49,10,10737418,1073741,8,1024,128
spill_SC,338,10,10737418,1073741,8,1024,128
merge_SC,9,10,10737418,1073741,8,1024,128
read_SC,1090,10,10737418,1073741,8,1024,128
collect_SC,76,10,10737418,1073741,8,1024,128
spill_SC,367,10,10737418,1073741,8,1024,128
merge_SC,9,10,10737418,1073741,8,1024,128
write_SC,1652,10,10737418,1073741,8,1024,128
shuffle_SC,2729,10,10737418,1073741,8,1024,128
read_SC,1527,10,10737418,1073741,8,1024,128
collect_SC,100,10,10737418,1073741,8,1024,128
spill_SC,365,10,10737418,1073741,8,1024,128
merge_SC,9,10,10737418,1073741,8,1024,128
read_SC,1272,20,10737418,2147483,8,1024,128
collect_SC,127,20,10737418,2147483,8,1024,128
spill_SC,699,20,10737418,2147483,8,1024,128
merge_SC,9,20,10737418,2147483,8,1024,128
read_SC,1153,20,10737418,2147483,8,1024,128
collect_SC,95,20,10737418,2147483,8,1024,128
spill_SC,647,20,10737418,2147483,8,1024,128
merge_SC,10,20,10737418,2147483,8,1024,128
read_SC,1128,20,10737418,2147483,8,1024,128
collect_SC,95,20,10737418,2147483,8,1024,128
spill_SC,666,20,10737418,2147483,8,1024,128
merge_SC,8,20,10737418,2147483,8,1024,128
read_SC,1052,20,10737418,2147483,8,1024,128
collect_SC,96,20,10737418,2147483,8,1024,128
spill_SC,587,20,10737418,2147483,8,1024,128
merge_SC,8,20,10737418,2147483,8,1024,128
read_SC,1005,20,10737418,2147483,8,1024,128
collect_SC,83,20,10737418,2147483,8,1024,128
spill_SC,623,20,10737418,2147483,8,1024,128
merge_SC,10,20,10737418,2147483,8,1024,128
read_SC,1039,20,10737418,2147483,8,1024,128
collect_SC,97,20,10737418,2147483,8,1024,128
spill_SC,628,20,10737418,2147483,8,1024,128
merge_SC,8,20,10737418,2147483,8,1024,128
read_SC,1153,20,10737418,2147483,8,1024,128
collect_SC,103,20,10737418,2147483,8,1024,128
spill_SC,615,20,10737418,2147483,8,1024,128
merge_SC,10,20,10737418,2147483,8,1024,128
read_SC,1364,20,10737418,2147483,8,1024,128
collect_SC,112,20,10737418,2147483,8,1024,128
spill_SC,680,20,10737418,2147483,8,1024,128
merge_SC,12,20,10737418,2147483,8,1024,128
